organization,program,suggested_primary_category,urgency,services,audiences,languages,phone,website,source_pages,verification_status,verification_lead_source_url,verification_notes
2-1-1 Bay Area,,community-support,help-now,Emergency and disaster services; General referral to community resources across all categories,,English; Spanish; Vietnamese; and 140 other languages,211,https://www.211bayarea.org,"4,41",needs_review,https://www.211bayarea.org,
All Around Senior Services,,seniors-disability,i-need-help,Senior housing assistance,seniors,,800-991-0626,,41,needs_review,,
Asian American Community Service Agency,,community-support,i-need-help,Emergency and Homeless Assistance; Family and Children Resources; Domestic Violence Resources; Educational Support for Adults; Employment Resources; Food Resources; Healthcare Resources; Housing Resources; Immigration/Legal,,,408-292-3157,https://www.sjaacsa.org,41,needs_review,https://www.sjaacsa.org,
Asian Americans for Community Involvement (AACI),,community-support,i-need-help,Emergency and Homeless Assistance; Family and Children Resources; Domestic Violence Resources; Educational Support for Adults; Employment Resources; Food Resources; Healthcare Resources; Housing Resources; Immigration/Legal,,,408-975-2730,https://aaci.org,41,needs_review,https://aaci.org,
Asian Americans for Community Involvement (AACI),AACI Asian Women's Home,urgent-safety,help-now,Domestic violence shelter/services (legal service); 24-hour hotline,,,408-975-2739,https://aaci.org,41,needs_review,https://aaci.org,
Bay Area Legal Aid,,legal-immigration,i-need-help,"Legal aid (domestic violence, immigration/legal)",,,408-283-3700,https://baylegal.org,41,needs_review,https://baylegal.org,Legal advice line 800-551-5554 also listed.
Bay Area Medical Academy (BAMA),,jobs-training,want-to-connect,Medical career vocational training,,,408-896-9440,https://www.bamasf.com,41,needs_review,https://www.bamasf.com,
Bill Wilson Center,,youth-education,help-now,Youth center; Emergency and Homeless Assistance; Family and Children Resources; Domestic Violence Resources; Educational Support for Adults; Employment Resources; Food Resources; Healthcare Resources; Housing Resources; Transportation Resources; Legal support,youth,,408-289-5830,https://www.billwilsoncenter.org,42,needs_review,https://www.billwilsoncenter.org,
Bill Wilson Center,The HUB,youth-education,i-need-help,Drop-in youth center services,youth,,408-792-1750,https://www.billwilsoncenter.org/services/all/bwc-hub.html,42,needs_review,https://www.billwilsoncenter.org/services/all/bwc-hub.html,
Black Infant Health (BIH),,babies-kids-parents,i-need-help,Maternal and infant health support,,Amharic; Tigrinya,408-937-2270,https://www.sccbih.org,42,needs_review,https://www.sccbih.org,
CalFresh Employment and Training (CFET),,jobs-training,want-to-connect,Supervised Job Search; Work Experience; Vocational Training; Pre-apprenticeship/Apprenticeship; Adult Education; Job Retention,,,408-758-3800,https://socialservices.sccgov.org/food-assistance/help-buying-groceries-calfresh-food/calfresh-employment-training,29,needs_review,https://socialservices.sccgov.org/food-assistance/help-buying-groceries-calfresh-food/calfresh-employment-training,
CalFresh Food,,food-basic-needs,i-need-help,Nutrition assistance (SNAP); EBT card benefits,,,408-758-3800,https://socialservices.sccgov.org/food-assistance/help-buying-groceries-calfresh-food,27,needs_review,https://socialservices.sccgov.org/food-assistance/help-buying-groceries-calfresh-food,
CalFresh Food Restaurant Meals Program,,food-basic-needs,i-need-help,Prepared meals at participating restaurants for CalFresh recipients,seniors; disability,,,https://mymapscc.sccgov.org,28,needs_review,https://mymapscc.sccgov.org,
California Alternative Rates for Energy (CARE),,community-support,want-to-connect,Discounted utility rates,,,866-743-2273,https://www.pge.com/care,42,needs_review,https://www.pge.com/care,
